CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,ComplainRecieved,CustomerStatus,warehousetohomerange,TenureRange,cashbackamountrange
50086,1,0,Phone,3,10,"Credit Card",Male,2,5,Fashion,2,Divorced,2,0,11,7,9,8,204,No,Churned,"Very close distance","6 Months","High Cashback Amount"
50087,0,3,Computer,1,6,"Debit Card",Male,2,4,Fashion,3,Single,2,0,22,2,5,8,185,No,Stayed,"Very close distance","6 Months","Moderate Cashback Amount"
50088,0,0,Computer,3,26,"Debit Card",Female,2,3,"Laptop & Accessory",3,Single,2,0,14,1,1,7,200,No,Stayed,"Moderate distance","6 Months","Moderate Cashback Amount"
50092,1,0,Computer,3,32,"E wallet",Female,2,4,"Laptop & Accessory",5,Single,6,0,15,0,1,1,167,No,Churned,"Far distance","6 Months","Moderate Cashback Amount"
50093,1,8.06359,Phone,1,6,"Cash on Delivery",Male,2,3,"Mobile Phone",3,Single,1,0,14,0,1,5,121,No,Churned,"Very close distance","1 Year","Moderate Cashback Amount"
50094,0,18,Computer,3,12,"Credit Card",Female,2,4,Fashion,2,Single,7,0,12,12,12,8,189,No,Stayed,"Close distance","2 Years","Moderate Cashback Amount"
50095,0,27,Phone,3,9,"E wallet",Female,2,3,"Laptop & Accessory",5,Divorced,3,0,14,1,1,5,159,No,Stayed,"Very close distance","more than 2 years","Moderate Cashback Amount"
50096,0,9,Phone,1,11,"Debit Card",Male,3,3,"Laptop & Accessory",4,Single,9,0,16,0,3,7,159,No,Stayed,"Close distance","1 Year","Moderate Cashback Amount"
50099,0,11,Phone,3,9,"Debit Card",Male,3,3,Fashion,3,Married,1,0,12,1,5,13,206,No,Stayed,"Very close distance","1 Year","High Cashback Amount"
50100,0,4,Computer,1,6,"Credit Card",Male,2,5,"Laptop & Accessory",3,Divorced,1,0,12,1,1,4,143,No,Stayed,"Very close distance","6 Months","Moderate Cashback Amount"
50101,0,8.06359,Phone,1,9,"Debit Card",Male,3,4,"Mobile Phone",2,Divorced,4,0,17,0,1,0,122,No,Stayed,"Very close distance","1 Year","Moderate Cashback Amount"
50102,0,10,Computer,3,10,"E wallet",Male,2,3,"Mobile Phone",2,Married,5,0,17,1,5,8,0,No,Stayed,"Very close distance","1 Year","Low Cashback Amount"
50103,0,2,Computer,3,6,"Credit Card",Female,2,3,Fashion,2,Divorced,2,0,14,4,4,1,179,No,Stayed,"Very close distance","6 Months","Moderate Cashback Amount"
50104,0,8,Computer,3,6,"E wallet",Female,3,3,Fashion,3,Single,2,0,14,1,1,8,188,No,Stayed,"Very close distance","1 Year","Moderate Cashback Amount"
50106,0,25,Phone,1,8,"Debit Card",Female,2,4,"Mobile Phone",2,Single,8,0,15,0,2,2,132,No,Stayed,"Very close distance","more than 2 years","Moderate Cashback Amount"
50108,0,8.06359,Phone,2,12,CC,Male,2,3,"Mobile Phone",3,Divorced,9,0,17,2,2,2,123,No,Stayed,"Close distance","1 Year","Moderate Cashback Amount"
50112,1,0,Phone,1,8,"Debit Card",Female,2.9475,3,"Mobile Phone",5,Divorced,8,0,20,1,1,7,127,No,Churned,"Very close distance","6 Months","Moderate Cashback Amount"
50114,0,5,Phone,3,10,"Debit Card",Female,2,3,"Mobile Phone",4,Divorced,3,0,11,1,1,2,139,No,Stayed,"Very close distance","6 Months","Moderate Cashback Amount"
50115,1,0,Phone,1,6,"Debit Card",Male,3,4,"Mobile Phone",3,Single,1,1,14,1,1,2,137,Yes,Churned,"Very close distance","6 Months","Moderate Cashback Amount"
50116,0,8.06359,Phone,1,6,CC,Female,3,3,"Mobile Phone",3,Married,8,0,14,0,1,2,122,No,Stayed,"Very close distance","1 Year","Moderate Cashback Amount"
50117,0,5,Computer,3,32,"E wallet",Male,3,3,"Laptop & Accessory",2,Divorced,1,0,18,1,2,2,145,No,Stayed,"Far distance","6 Months","Moderate Cashback Amount"
50118,0,14,Phone,1,25,"Debit Card",Male,2.9475,3,"Laptop & Accessory",5,Married,3,0,16,1,1,0,131,No,Stayed,"Moderate distance","2 Years","Moderate Cashback Amount"
50119,0,13,Phone,1,30,"Cash on Delivery",Male,3,3,"Laptop & Accessory",2,Married,2,0,17,2,4,7,133,No,Stayed,"Moderate distance","2 Years","Moderate Cashback Amount"
50122,0,6,Phone,1,11,"Debit Card",Female,2.9475,4,"Mobile Phone",2,Divorced,2,0,13,0,1,2,129,No,Stayed,"Close distance","6 Months","Moderate Cashback Amount"
50123,0,7,Phone,1,8,"Debit Card",Male,2,4,"Laptop & Accessory",5,Divorced,7,0,13,0,5,9,160,No,Stayed,"Very close distance","1 Year","Moderate Cashback Amount"
50124,0,10,Phone,1,6,"Credit Card",Female,2,4,"Mobile Phone",5,Divorced,3,0,14,1,1,2,139,No,Stayed,"Very close distance","1 Year","Moderate Cashback Amount"
50125,0,18,Computer,1,13,"Debit Card",Male,3,2,"Laptop & Accessory",3,Divorced,5,0,17,0,1,2,164,No,Stayed,"Close distance","2 Years","Moderate Cashback Amount"
50126,1,0,Computer,1,16,"Credit Card",Male,3,3,Fashion,3,Married,7,0,11,1,1,0,200,No,Churned,"Close distance","6 Months","Moderate Cashback Amount"
50129,0,15,Phone,1,23,"Debit Card",Female,2,2,"Laptop & Accessory",5,Single,4,1,13,0,1,2,165,Yes,Stayed,"Moderate distance","2 Years","Moderate Cashback Amount"
50130,0,2,Phone,3,26,"E wallet",Male,2,3,"Laptop & Accessory",2,Married,3,0,14,1,1,2,169,No,Stayed,"Moderate distance","6 Months","Moderate Cashback Amount"
50131,0,0,Phone,1,6,"Debit Card",Female,3,3,"Laptop & Accessory",3,Divorced,1,0,12,1,1,2,149,No,Stayed,"Very close distance","6 Months","Moderate Cashback Amount"
50134,0,24,Phone,1,6,"Debit Card",Male,2.9475,3,"Mobile Phone",2,Divorced,2,0,11,1,1,0,127,No,Stayed,"Very close distance","2 Years","Moderate Cashback Amount"
50135,1,0,Computer,1,35,CC,Male,3,4,"Mobile Phone",4,Single,1,0,11,1,1,4,135,No,Churned,"Far distance","6 Months","Moderate Cashback Amount"
50136,0,5,Computer,1,13,"Debit Card",Male,2.9475,2,"Mobile Phone",4,Divorced,2,0,20,0,1,3,128,No,Stayed,"Close distance","6 Months","Moderate Cashback Amount"
50137,0,11,Computer,3,8,"Debit Card",Male,2,4,"Laptop & Accessory",2,Divorced,4,0,18,6,7,5,152,No,Stayed,"Very close distance","1 Year","Moderate Cashback Amount"
50138,0,8.06359,Phone,1,8,"Cash on Delivery",Male,2,4,"Laptop & Accessory",5,Single,5,0,13,0,1,4,122,No,Stayed,"Very close distance","1 Year","Moderate Cashback Amount"
50140,1,0,Phone,1,8,"Debit Card",Male,3,3,"Mobile Phone",3,Single,3,0,11,1,1,0,135,No,Churned,"Very close distance","6 Months","Moderate Cashback Amount"
50141,0,2,Phone,3,8,"Credit Card",Male,3,4,"Laptop & Accessory",4,Divorced,3,0,19,0,1,0,166,No,Stayed,"Very close distance","6 Months","Moderate Cashback Amount"
50142,0,4,Phone,1,29,"Credit Card",Male,3,4,"Laptop & Accessory",2,Divorced,1,0,21,1,7,8,156,No,Stayed,"Moderate distance","6 Months","Moderate Cashback Amount"
50143,0,0,Computer,1,11,"Debit Card",Male,2,2,"Laptop & Accessory",5,Married,2,0,12,1,1,5,140,No,Stayed,"Close distance","6 Months","Moderate Cashback Amount"
50145,0,9,Phone,1,12,"Debit Card",Male,2,3,"Mobile Phone",2,Divorced,1,0,11,4,10,11,132,No,Stayed,"Close distance","1 Year","Moderate Cashback Amount"
50148,0,8.06359,Phone,1,15,CC,Male,3,3,"Mobile Phone",2,Divorced,2,0,23,1,1,4,121,No,Stayed,"Close distance","1 Year","Moderate Cashback Amount"
50149,0,10,Phone,3,12,"Credit Card",Male,3,3,"Laptop & Accessory",2,Divorced,5,0,14,0,1,1,165,No,Stayed,"Close distance","1 Year","Moderate Cashback Amount"
50150,0,0,Phone,1,9,CC,Male,3,4,"Mobile Phone",3,Single,2,0,17,1,1,0,132,No,Stayed,"Very close distance","6 Months","Moderate Cashback Amount"
50153,0,11,Phone,3,13,"Credit Card",Female,2,2,"Laptop & Accessory",5,Married,2,1,24,0,7,7,156,Yes,Stayed,"Close distance","1 Year","Moderate Cashback Amount"
50154,0,0,Computer,1,6,"Debit Card",Female,2,3,"Laptop & Accessory",4,Married,2,0,20,0,1,4,164,No,Stayed,"Very close distance","6 Months","Moderate Cashback Amount"
50157,0,15,Phone,3,6,"Debit Card",Male,2,3,"Laptop & Accessory",3,Divorced,2,0,25,4,11,6,149,No,Stayed,"Very close distance","2 Years","Moderate Cashback Amount"
50158,0,2,Computer,3,8,"Debit Card",Male,2,3,"Laptop & Accessory",2,Single,2,0,18,0,1,9,146,No,Stayed,"Very close distance","6 Months","Moderate Cashback Amount"
50159,0,28,Phone,1,26,"Cash on Delivery",Male,2,3,"Laptop & Accessory",2,Divorced,4,1,19,1,1,8,154,Yes,Stayed,"Moderate distance","more than 2 years","Moderate Cashback Amount"
50160,0,0,Computer,1,17,"Credit Card",Male,2,3,"Laptop & Accessory",5,Divorced,2,1,13,2,3,3,147,Yes,Stayed,"Close distance","6 Months","Moderate Cashback Amount"
50161,0,8.06359,Phone,1,6,"Debit Card",Female,2,3,"Mobile Phone",2,Single,2,0,12,1,5,7,121,No,Stayed,"Very close distance","1 Year","Moderate Cashback Amount"
50162,1,7,Computer,1,30,"Debit Card",Male,2.9475,3,"Mobile Phone",3,Married,4,1,22,0,1,0,132,Yes,Churned,"Moderate distance","1 Year","Moderate Cashback Amount"
50163,0,11,Phone,1,29,"Debit Card",Male,2,3,"Laptop & Accessory",2,Married,10,0,14,0,1,2,157,No,Stayed,"Moderate distance","1 Year","Moderate Cashback Amount"
50165,0,1,Phone,1,14,"Debit Card",Female,3,3,"Mobile Phone",2,Single,2,0,21,0,1,2,133,No,Stayed,"Close distance","6 Months","Moderate Cashback Amount"
50167,0,9,Phone,1,9,"Cash on Delivery",Male,1,3,"Laptop & Accessory",4,Single,5,0,12,6,7,7,145,No,Stayed,"Very close distance","1 Year","Moderate Cashback Amount"
50168,0,4,Computer,3,11,"E wallet",Female,2.9475,3,"Mobile Phone",4,Married,2,0,11,0,2,2,128,No,Stayed,"Close distance","6 Months","Moderate Cashback Amount"
50169,1,0,Phone,3,10,"E wallet",Male,2,4,"Laptop & Accessory",2,Single,2,1,12,7,7,4,158,Yes,Churned,"Very close distance","6 Months","Moderate Cashback Amount"
50172,1,8.06359,Phone,1,9,"Debit Card",Male,2,3,"Mobile Phone",3,Single,2,0,13,0,1,0,114,No,Churned,"Very close distance","1 Year","Moderate Cashback Amount"
50173,0,8,Phone,3,22,"E wallet",Male,3,3,Fashion,4,Divorced,1,0,15,3,6,9,180,No,Stayed,"Moderate distance","1 Year","Moderate Cashback Amount"
50174,0,9,Computer,1,24,"Debit Card",Male,2,2,"Mobile Phone",2,Divorced,5,0,18,0,1,0,137,No,Stayed,"Moderate distance","1 Year","Moderate Cashback Amount"
50175,0,24,Phone,1,8,"Credit Card",Male,2,5,"Laptop & Accessory",4,Married,6,0,18,0,1,2,155,No,Stayed,"Very close distance","2 Years","Moderate Cashback Amount"
50177,0,0,Phone,3,16,"Credit Card",Female,3,4,"Mobile Phone",3,Single,2,0,12,1,1,0,112,No,Stayed,"Close distance","6 Months","Moderate Cashback Amount"
50178,0,1,Phone,1,22,"Credit Card",Male,3,2,"Laptop & Accessory",5,Single,1,0,19,0,1,7,157,No,Stayed,"Moderate distance","6 Months","Moderate Cashback Amount"
50179,0,4,Phone,3,13,"Cash on Delivery",Male,3,2,"Laptop & Accessory",2,Divorced,5,0,11,3,7,7,169,No,Stayed,"Close distance","6 Months","Moderate Cashback Amount"
50180,0,12,Phone,1,6,"Credit Card",Male,2,2,Fashion,2,Married,1,0,17,3,3,7,196,No,Stayed,"Very close distance","1 Year","Moderate Cashback Amount"
50181,0,9,Computer,1,30,"Debit Card",Female,2,3,"Laptop & Accessory",4,Divorced,8,0,15,0,1,8,157,No,Stayed,"Moderate distance","1 Year","Moderate Cashback Amount"
50182,0,5,Phone,3,13,"Debit Card",Male,3,4,"Laptop & Accessory",3,Divorced,2,0,14,1,4,8,155,No,Stayed,"Close distance","6 Months","Moderate Cashback Amount"
50184,0,30,Computer,1,6,"Debit Card",Male,2,5,"Laptop & Accessory",3,Married,3,1,13,1,1,2,157,Yes,Stayed,"Very close distance","more than 2 years","Moderate Cashback Amount"
50185,0,4,Phone,1,11,"Cash on Delivery",Male,2,3,"Mobile Phone",2,Divorced,1,1,12,0,1,3,148,Yes,Stayed,"Close distance","6 Months","Moderate Cashback Amount"
50186,0,4,Phone,2,8,UPI,Male,3,4,"Laptop & Accessory",5,Divorced,4,0,12,0,1,0,164,No,Stayed,"Very close distance","6 Months","Moderate Cashback Amount"
50187,0,18,Computer,1,13,"Debit Card",Male,3,3,Fashion,5,Married,2,0,18,5,9,11,152,No,Stayed,"Close distance","2 Years","Moderate Cashback Amount"
50188,0,4,Phone,1,8,"Debit Card",Male,2.9475,3,"Mobile Phone",2,Married,1,1,18,1,2,2,127,Yes,Stayed,"Very close distance","6 Months","Moderate Cashback Amount"
50193,1,15,Phone,1,14,"Credit Card",Male,2,4,"Laptop & Accessory",4,Divorced,3,0,15,7,7,7,149,No,Churned,"Close distance","2 Years","Moderate Cashback Amount"
50195,0,5,Phone,3,14,"Cash on Delivery",Female,3,4,"Laptop & Accessory",4,Divorced,2,1,11,6,11,9,152,Yes,Stayed,"Close distance","6 Months","Moderate Cashback Amount"
50196,0,0,Phone,3,8,"Debit Card",Male,3,3,"Laptop & Accessory",3,Single,2,1,11,1,1,4,145,Yes,Stayed,"Very close distance","6 Months","Moderate Cashback Amount"
50197,0,4,Phone,3,13,"E wallet",Male,3,3,"Laptop & Accessory",2,Married,5,0,12,0,1,7,175,No,Stayed,"Close distance","6 Months","Moderate Cashback Amount"
50198,0,5,Phone,1,8,"Credit Card",Female,3,2,"Laptop & Accessory",2,Single,8,0,16,1,1,7,151,No,Stayed,"Very close distance","6 Months","Moderate Cashback Amount"
50199,1,0,Phone,1,8,CC,Male,2,5,"Mobile Phone",2,Divorced,6,1,13,2,2,2,135,Yes,Churned,"Very close distance","6 Months","Moderate Cashback Amount"
